Latitude	Longitude	Altitude	Date	Time	DOP	Satelites	Cond.1 [mS/m]	Inph.1 [ppt]	Cond.2 [mS/m]	Inph.2 [ppt]	Cond.3 [mS/m]	Inph.3 [ppt]	Cond.4 [mS/m]	Inph.4 [ppt]	Cond.5 [mS/m]	Inph.5 [ppt]	Cond.6 [mS/m]	Inph.6 [ppt]	Note
3826.4633N	00140.1691W	570.3	06/18/2025	07:51:05.54	1.1	7	3.52	2.03	6.60	2.15	8.14	2.50	8.99	2.73	11.59	2.99	14.83	3.62
3826.4633N	00140.1690W	570.0	06/18/2025	07:51:06.59	1.1	7	3.32	2.03	6.31	2.15	7.84	2.49	8.67	2.72	11.30	2.99	14.78	3.59
3826.4631N	00140.1692W	570.0	06/18/2025	07:51:07.64	1.1	7	3.23	2.03	6.18	2.14	7.64	2.49	8.45	2.73	11.23	2.97	14.80	3.59
3826.4628N	00140.1693W	569.8	06/18/2025	07:51:08.54	1.1	7	3.16	2.03	6.11	2.14	7.50	2.49	8.18	2.73	10.70	2.98	14.47	3.59
3826.4625N	00140.1695W	569.8	06/18/2025	07:51:09.59	1.1	7	3.32	2.03	6.33	2.14	7.61	2.48	8.00	2.71	10.44	2.97	14.36	3.61
3826.4621N	00140.1697W	569.6	06/18/2025	07:51:10.64	1.1	7	3.86	2.02	6.70	2.14	7.63	2.49	8.05	2.73	10.66	3.00	14.63	3.65
3826.4618N	00140.1698W	569.5	06/18/2025	07:51:11.54	1.1	7	3.27	2.02	6.15	2.14	7.33	2.49	7.95	2.71	10.44	2.96	14.26	3.59
3826.4614N	00140.1700W	569.3	06/18/2025	07:51:12.59	1.1	7	2.89	2.03	5.76	2.15	7.13	2.49	7.92	2.71	10.71	2.96	14.64	3.57
3826.4610N	00140.1703W	569.2	06/18/2025	07:51:13.64	1.1	7	3.18	2.03	6.21	2.15	7.74	2.49	8.58	2.70	11.42	2.93	15.68	3.54
3826.4605N	00140.1707W	568.9	06/18/2025	07:51:14.54	1.1	7	3.02	2.03	6.04	2.15	7.69	2.50	8.75	2.72	11.86	2.94	16.26	3.54
3826.4600N	00140.1712W	568.5	06/18/2025	07:51:15.59	1.1	7	3.49	2.03	6.86	2.15	8.87	2.50	10.37	2.72	14.09	2.95	18.62	3.55
3826.4594N	00140.1715W	568.2	06/18/2025	07:51:16.64	1.1	7	3.62	2.03	7.12	2.15	9.36	2.50	11.10	2.72	15.01	2.95	19.51	3.54
3826.4588N	00140.1718W	568.0	06/18/2025	07:51:17.54	1.1	7	4.25	2.03	8.27	2.15	11.12	2.50	13.24	2.71	17.64	2.94	21.96	3.54
3826.4581N	00140.1722W	567.9	06/18/2025	07:51:18.59	1.1	7	4.51	2.03	8.63	2.15	11.55	2.50	13.63	2.71	17.57	2.93	20.97	3.53
3826.4575N	00140.1727W	567.9	06/18/2025	07:51:19.64	1.1	7	4.36	2.03	8.39	2.15	11.15	2.50	13.00	2.72	16.65	2.95	19.79	3.56
3826.4569N	00140.1731W	567.9	06/18/2025	07:51:20.54	1.1	7	3.93	2.03	7.60	2.15	9.81	2.50	11.30	2.72	14.63	2.96	18.00	3.57
3826.4565N	00140.1736W	567.7	06/18/2025	07:51:21.59	1.1	7	3.36	2.02	6.63	2.15	8.40	2.50	9.57	2.72	12.60	2.96	16.33	3.59
3826.4560N	00140.1741W	567.5	06/18/2025	07:51:22.64	1.1	7	3.16	2.02	6.24	2.15	7.84	2.50	8.91	2.72	11.93	2.96	15.73	3.59
3826.4555N	00140.1745W	567.3	06/18/2025	07:51:23.54	1.1	7	3.24	2.02	6.32	2.14	7.98	2.50	9.04	2.73	12.12	2.98	16.13	3.62
3826.4550N	00140.1749W	567.1	06/18/2025	07:51:24.59	1.1	7	3.35	2.02	6.54	2.14	8.28	2.50	9.48	2.73	12.95	2.98	17.28	3.61
3826.4545N	00140.1754W	566.8	06/18/2025	07:51:25.64	1.1	7	3.64	2.02	7.07	2.14	9.16	2.50	10.65	2.73	14.33	2.98	18.77	3.64
3826.4539N	00140.1759W	566.6	06/18/2025	07:51:26.54	1.1	7	4.37	2.02	8.31	2.14	11.01	2.50	13.04	2.73	17.24	2.97	21.97	3.63
3826.4533N	00140.1764W	566.6	06/18/2025	07:51:27.59	1.1	7	4.99	2.02	9.37	2.14	12.50	2.50	14.77	2.72	19.29	2.95	24.36	3.63
3826.4527N	00140.1769W	566.6	06/18/2025	07:51:28.64	1.1	7	4.83	2.02	9.16	2.14	12.38	2.49	14.92	2.72	20.18	2.98	26.49	3.66
3826.4521N	00140.1773W	566.6	06/18/2025	07:51:29.54	1.1	7	4.47	2.02	8.56	2.13	11.53	2.48	13.81	2.71	18.59	3.00	24.32	3.71
3826.4516N	00140.1777W	566.6	06/18/2025	07:51:30.59	1.1	7	3.76	2.02	7.40	2.14	9.80	2.50	11.59	2.72	15.15	2.96	18.99	3.66
3826.4510N	00140.1781W	566.5	06/18/2025	07:51:31.63	1.1	7	3.35	2.02	6.56	2.14	8.48	2.50	9.58	2.72	12.38	2.97	16.00	3.69
3826.4505N	00140.1785W	566.5	06/18/2025	07:51:32.54	1.1	7	3.01	2.02	5.97	2.14	7.52	2.49	8.34	2.72	10.83	2.99	14.24	3.69
3826.4498N	00140.1789W	566.5	06/18/2025	07:51:33.59	1.1	7	2.89	2.02	5.77	2.14	7.08	2.49	7.69	2.71	9.87	2.97	13.23	3.69
3826.4493N	00140.1794W	566.5	06/18/2025	07:51:34.63	1.1	7	2.66	2.02	5.38	2.14	6.64	2.49	7.26	2.72	9.42	2.96	12.62	3.64
3826.4488N	00140.1798W	566.3	06/18/2025	07:51:35.54	1.1	7	2.78	2.02	5.53	2.13	6.83	2.49	7.52	2.72	9.82	2.98	13.35	3.65
