Latitude	Longitude	Altitude	Date	Time	DOP	Satelites	Cond.1 [mS/m]	Inph.1 [ppt]	Cond.2 [mS/m]	Inph.2 [ppt]	Cond.3 [mS/m]	Inph.3 [ppt]	Cond.4 [mS/m]	Inph.4 [ppt]	Cond.5 [mS/m]	Inph.5 [ppt]	Cond.6 [mS/m]	Inph.6 [ppt]	Note	geometry
4255502.976167381	616013.4718296729	331.0584014016868	2027-09-03	02:59:49	1.3670479002342564	4	11.325395807009858	-0.029108489136481452	36.144409539775424	0.768191142942424	24.392599776640722	1.1575934210428258	11.757282676770462	-1.857856334654855	14.333959283937855	4.7674276006409535	25.661988568781027	-2.455280732964332		POINT (616013.4718296729 4255502.976167381)
4255502.99513992	616028.4755682421	406.70448382211606	2025-06-20	17:44:49	2.3351980004446653	6	26.241344530458615	-1.433909354593613	26.128183073009154	-3.378540818541935	42.98505264757556	0.7322287815434709	33.00057402596741	2.493011356072512	32.871812550413445	3.418787238461638	37.90172180725307	4.318926826339084	rocky	POINT (616028.4755682421 4255502.99513992)
4255503.171743825	615976.8598054168	378.30909804333686	2026-03-06	10:29:49	2.3807542901950858	11	14.89411886522236	4.412496797854601	49.22313648982213	0.33754698918119885	21.548251119640824	1.8976871633533579	22.980563482053856	4.153733054288672	30.9201007977017	-2.4009870770580255	42.273907850204594	1.7390409640297069		POINT (615976.8598054168 4255503.171743825)
4255503.239622627	616106.3400473669	486.92627843750535	2025-07-01	20:29:49	1.071733043579193	10	24.74078278239723	-1.427568603615482	34.85843503895538	4.094378784941021	22.12761193855224	-2.2201214983581807	13.166854674882288	2.478372257504545	45.765681065577866	3.875817917424625	44.220710373822385	1.3796865343973561	rocky	POINT (616106.3400473669 4255503.239622627)
4255503.344420416	615965.6930447359	373.876509834977	2026-02-24	07:59:49	1.514847419040359	8	15.499140518079543	-4.1249071782156435	41.40327175057824	2.7707567798846675	14.327789137500243	3.97987984323815	19.738431191841926	-2.6361973406568575	36.65053653158769	3.1796025583934764	23.487940835598554	0.7994226242379563		POINT (615965.6930447359 4255503.344420416)
4255504.2341371775	616091.8649593459	442.7311421650202	2026-04-22	22:14:49	2.031572132883638	11	27.046888003540225	-4.107370693749389	20.327687303852464	1.1646519496270198	19.018439299961347	-0.5401661152484447	35.68973289218336	3.212432981366666	23.580826833465366	4.332547730008084	32.81641593726057	1.6557756401567092	wet area	POINT (616091.8649593459 4255504.2341371775)
4255504.238380314	616092.826156109	497.7421769736157	2025-10-15	22:59:49	0.8812022300113065	7	45.03743767652096	0.4999227470309231	40.77694983475655	1.5720690117158505	11.389320400026705	4.400441355573934	10.525344191055733	-3.2257540674414322	29.03866976416454	-2.9275678566830865	31.559891156685058	3.0695746438172797	rocky	POINT (616092.826156109 4255504.238380314)
4255504.309198895	615965.1617633508	489.3494833027393	2026-10-02	14:59:49	1.0784767034090632	10	23.310177309281084	0.9117924736443337	46.32854314130142	-4.000562615222739	31.713105313177998	-3.680350190718331	28.51320585325687	-3.162536548965047	35.59500454990113	3.937367609711343	36.49422648147549	3.502283864967403	wet area	POINT (615965.1617633508 4255504.309198895)
4255504.417795159	615973.4840914457	394.9994338676374	2026-01-10	20:44:49	2.2733790494342214	4	21.983029208887544	-4.813233688794697	47.71865937272849	-1.0993347736339287	49.420773540231544	-2.8084900275240363	28.20227378650985	1.7417744359012524	11.169996275325413	-0.33121636869196536	35.54397578306758	4.29401094195493	wet area	POINT (615973.4840914457 4255504.417795159)
4255504.465679863	615977.5520192704	392.0606885072723	2025-11-26	09:29:49	2.1633764389769734	8	26.07131363019996	-1.7619431364609839	36.42451547139265	0.2813181497420878	44.02169280598051	-2.470974411638136	15.691005969709412	3.8015055454444564	23.70169354837732	4.789374515699405	48.08412603211239	-2.2360345454189257	rocky	POINT (615977.5520192704 4255504.465679863)
